2020/01/30 2:16:59 PM GMT+5:30,Great communication skills and very interactive teaching. Helped honing technical as well as soft skills.,Good handle over class and very respectful towards students. Very enlightening and helps with grammar.,Runs a bit late to class and then takes extra time from allotted break. Does not clear doubts easily. Gives a lot of assignments.,Very punctual but makes learning really boring. Not easy to understand what is being taught ,Very generous and helpful. He is soft-spoken and always on time. Gives a lot of marks.
2020/01/30 2:22:03 PM GMT+5:30,She has the best persona ever. Very friendly and teaches efficiently.,Has plenty of knowledge but lacks in explaining it.,Very supportive. Always encouraged students to take part in several activities.,Boooring.,Bahut acha
2020/01/30 2:50:27 PM GMT+5:30,Great Teacher. Simple Explanation amazing personality Absolutely Lovely,"Great Teacher. Very Kind, but for English Teacher pronunciation is not good  ","Very Punctual, interactive teacher  ",Comments on Ethnic Background which I personally feel is wrong in every sense. Unwilling to listen to our points of view ,"Guest Teacher, haven’t been really taught by him "
2020/01/30 3:06:32 PM GMT+5:30,Excellent ,Good,Nice ,Good,Superb
2020/01/30 4:14:10 PM GMT+5:30,She is a dedicated teacher who strives to develop student’s personality.,She has a very good vocabulary .,He is very knowledgable and ready to help his students.,He is a motivated teacher who is always there to help his students.,He has a very interesting way of teaching his subject.
2020/01/30 5:48:26 PM GMT+5:30,Good,Good,Good,Good,Good
2020/01/30 8:35:40 PM GMT+5:30,Very effective teaching methods. ,Encouraging teacher,Wide range of knowledge and creative teaching style,Makes the topic easy to understand and helpful,Sincere in teaching and cogent teaching. 
2020/01/31 12:13:29 PM GMT+5:30,He is a great teacher who puts in lots of effort so that students are doubt-free at the end of his lecture.,She is quite bad when it comes to her behaviour. She only scolds during the lecture.,He is one of my favourite faculties because he always encourages to study practically.,She is amazing as she makes the subject interesting.,His basics are not clear and hence cannot clarify our doubts.
2020/02/03 12:13:02 PM GMT+5:30,Ms. Subha is a great teacher with good communication skills. She is patient and helps students with all doubts. But she is not very punctual,Mrs. Ramandevi is an excellent faculty of English department. She explains all the basics if someone has grammatical errors.,He is not a good faculty as he explains concepts very vaguely and uses a lot of technical terms that most people are not able to understand.,"Ramanujam is an average faculty. He has all the knowledge but at times, he is not able to deliver it to students",This faculty faces difficulties with his basics
2020/02/04 12:04:15 PM GMT+5:30,her lecturesare very interactive.,she is one of the most updated teachers in our college,Portion is never completed on time,He conducts exams at a regular basis which makes learning easier.,"He is not punctual and instead of teaching, he reads out a ppt in class."
